Borough,Area Code,Employed,Work_From_Home,Age_18_64,Disabled,Total_Pop,Economically_Active,Income_per_Head,Age_18_64_%,Economically_Active_%,Disabled_%,Work_From_Home_%,PC1,PC2,Cluster,Cluster_Label,Gym_Count,Retail_Rent,PC1_Score,PC2_Score,Gym_Score,Rent_Score,AHP_with_rent,Rank_with_rent,AHP_no_rent,Rank_no_rent,AHP_high_rent_sensitive,Rank_high_rent_sensitive,AHP_flat,Rank_flat,AHP_pairwise_matrix,Rank_pairwise_matrix
Kingston upon Thames,E09000021,84148.0,39251.0,107221.0,21990.0,168063.0,89385.0,29942.0,63.798099522202975,53.18541261312723,13.084379072133665,46.645196558444646,-0.3578271147119471,-0.1021123528797273,1,High Need (Low PC1),15,45.23,0.25296006839103613,0.6093986188289788,0.864406779661017,0.6497937162805459,0.5259038503105229,16,0.48218097577641517,12,0.5655872150994739,18,0.5941397957903944,16,0.43433701926262336,14
Lambeth,E09000022,182819.0,91770.0,235679.0,42017.0,317654.0,197141.0,31534.0,74.19361947275966,62.06155124758384,13.227285033401124,50.19718957001187,2.020100906221546,0.6673129246227789,0,Emerging Opportunity,40,38.76,0.5130342492136575,0.45584396563587637,0.44067796610169496,0.7524595366550302,0.5350099933639834,14,0.4814059075179306,13,0.5589525221081206,19,0.5405039294015648,22,0.5089691815290746,4
Lewisham,E09000023,155712.0,69977.0,207168.0,43248.0,300553.0,169579.0,25892.0,68.92894098545015,56.42232817506396,14.389475400345365,44.94001746814632,0.287818742927258,1.1999520533665662,0,Emerging Opportunity,26,28.73,0.3235744082906589,0.34954486280836083,0.6779661016949152,0.9116153602031102,0.5172550282575408,18,0.4022438833268207,21,0.576059123448786,17,0.5656751832492612,20,0.4151870569455649,17
Merton,E09000024,112065.0,48419.0,140970.0,25902.0,215187.0,118900.0,32084.0,65.5104629926529,55.25426721874462,12.036972493691533,43.206174987730336,0.0771145417405147,-0.901386567283709,1,High Need (Low PC1),18,40.28,0.3005296726901192,0.768910241838522,0.8135593220338984,0.7283402094573151,0.5823738237419949,5,0.5436497733033958,4,0.6251548774187143,7,0.6528348615049637,7,0.49644753616160936,5
Newham,E09000025,163447.0,47737.0,242138.0,42032.0,351036.0,180739.0,22217.0,68.97811050718445,51.48731184266001,11.973700703061796,29.20640941711992,-0.8533977948350269,-1.114209836101787,1,High Need (Low PC1),47,35.78,0.1987594628478442,0.8113835062221137,0.3220338983050848,0.7997461123452873,0.4661364885136349,24,0.40720156295157317,20,0.5262351534633791,22,0.5329807449300825,24,0.39074637930719663,23
Redbridge,E09000026,141627.0,49406.0,195735.0,37022.0,310259.0,152466.0,24430.0,63.08761389677656,49.14152369471957,11.932611141014442,34.884591214951946,-1.451290311602614,-1.3265861154248235,1,High Need (Low PC1),10,29.73,0.13336790971863594,0.8537675646504309,0.9491525423728814,0.8957473817835608,0.5930806616488291,2,0.5126447327290236,7,0.6693186088553215,2,0.7080088496313772,2,0.4455153280724018,11
Richmond upon Thames,E09000027,97565.0,57322.0,119832.0,23479.0,195278.0,102821.0,42567.0,61.364823482419936,52.65365274122021,12.023371808396236,58.752626454158765,0.2090793776579583,-0.914618871636108,1,High Need (Low PC1),36,42.97,0.3149626775146923,0.7715510205667353,0.5084745762711864,0.6856553475087275,0.5191212598752069,17,0.49064156018160404,11,0.5561905268746102,21,0.5701609054653354,18,0.46495660557485646,7
Southwark,E09000028,166948.0,80842.0,224391.0,42022.0,307637.0,181218.0,31054.0,72.94018599843322,58.90643843230821,13.6596053140552,48.42346119749863,1.3441352666628636,0.8533081650983977,0,Emerging Opportunity,43,45.22,0.43910383230244665,0.41872478657861134,0.38983050847457623,0.6499523960647414,0.4673430711445645,23,0.42313545381972195,17,0.4884279275207939,27,0.47440288085509386,27,0.4438309085663849,13
Sutton,E09000029,104224.0,38024.0,128840.0,29614.0,209639.0,109810.0,24426.0,61.45803023292422,52.38052080004197,14.1261883523581,36.48295977893768,-1.383646195174378,0.4697438430304206,1,High Need (Low PC1),7,27.99,0.14076615222752284,0.4952729429422471,1.0,0.9233576642335767,0.5400325823261739,13,0.41896495899643554,18,0.6182917335267792,10,0.6398491898508367,10,0.3799878444955818,24
Tower Hamlets,E09000030,155394.0,78219.0,228641.0,40125.0,310306.0,170536.0,29716.0,73.68242960174796,54.95736466584597,12.930784451476928,50.33592030580331,1.0668998867740924,0.2467415451882126,0,Emerging Opportunity,65,42.06,0.4087825762825459,0.5397776421088452,0.016949152542372836,0.7000952078705174,0.4148774310173654,30,0.36971441128240107,27,0.4440086941761626,29,0.4164011447010703,29,0.4102360395121673,20
Waltham Forest,E09000031,140373.0,52765.0,187391.0,36762.0,278426.0,151835.0,24476.0,67.30370008548053,54.533340995453,13.203508293047344,37.58913751219964,-0.3485104974792231,0.0230281742636874,1,High Need (Low PC1),22,33.73,0.25397902757462293,0.584424250546873,0.7457627118644068,0.8322754681053635,0.5340840971331778,15,0.4514693313242547,16,0.5919137411862518,15,0.6041103645228165,14,0.42809612634956623,16
Wandsworth,E09000032,190443.0,107639.0,236834.0,37444.0,327506.0,201428.0,41584.0,72.31440034686388,61.50360604080536,11.433072981869037,56.52032366639887,2.4159336814309427,-0.7975331608889551,0,Emerging Opportunity,49,38.79,0.5563265119941413,0.7481841567095904,0.288135593220339,0.7519834973024437,0.5801912542441311,6,0.5602456216540155,3,0.5997569527749614,12,0.5861574398066286,17,0.5793184797088013,2
Westminster,E09000033,101742.0,56766.0,148842.0,28122.0,204234.0,110288.0,67389.0,72.87816915890596,54.00080300047985,13.769499691530305,55.79406734681842,1.58304020695981,0.6552979120288899,0,Emerging Opportunity,66,49.36,0.4652328850303817,0.4582418087350191,0.0,0.5842589654078072,0.39459330884071797,32,0.37008898513569655,26,0.40649591687846043,31,0.376933414793302,32,0.4151757769129728,18
