Gym Name,Latitude,Longitude
Greenway Orchard Green Gym (Newham),51.5233055,0.0382471
Gym,51.4688381,-0.0899019
Gym,51.4568831,0.1086535
Gym,51.4147585,-0.2629486
Gym,51.3827285,-0.0287283
Gym 1971,51.5385718,-0.0065037
Gym Box,51.5256515,-0.0900473
GYM BROMLEY,51.4049275,0.0148608
Gym Nation,51.5013747,-0.078627
Gym On London,51.4653771,-0.1809992
Gym Roehampton,51.4558127,-0.247422
Gym Spot,51.5379027,0.0317007
Gymboree,51.4635983,-0.2168871
Gymboree,51.4209786,-0.2044446
Gymbox,51.5422583,-0.0076221
Gymbox,51.5188678,-0.1088338
GymBox,51.5178353,-0.1189539
Gymbox,51.5141116,-0.3060147
Gymbox,51.5105664,-0.126758
Gymbox,51.5104221,-0.0897478
Gymbox Elephant and Castle,51.4946808,-0.0980221
Gymbox Victoria,51.4968508,-0.1371732
Gymfinity Kids,51.4548025,-0.1916385
Gymkhana,51.5084811,-0.1414863
Gymnasium,51.4567142,-0.1935943
Gymnastic rings,51.5400925,-0.0306461
Gymnova,51.5136907,0.0560602
Gympods,51.5457729,-0.0746673
Gymshark,51.5440772,-0.0065492
Hackey Aerial Yoga,51.5593172,-0.0864823
Hackney Wick Personal Training,51.5430743,-0.024872
Hampton Common Open-air Gym,51.4307996,-0.3830117
Harbour Club,51.4951941,-0.1872182
Harrowall,51.5806563,-0.3443853
Hazelwood Sports Club,51.6374344,-0.087871
Heartcore,51.5116978,-0.1929999
Heartcore Fitness,51.5358115,-0.1749655
Heartcore Fitness,51.5084768,-0.1973764
Heartcore Hampstead,51.5565622,-0.1782334
Hello Yoga Studio & Fair-Well Shop,51.5632666,-0.1179981
Heston Pools and Fitness,51.486551,-0.3757468
Hitio Gym,51.3922655,0.1125026
Hot Pod Yoga,51.4635142,-0.2165885
Hot Yoga Brixton,51.4622897,-0.110993
Hotpod Yoga,51.5421674,-0.0574885
Hotpod Yoga South Wimbledon,51.4151637,-0.1927578
HS Fitness Studio,51.461577,-0.0786388
Hum Yoga,51.5126861,0.0060045
Hustle,51.5750636,0.1853241
Hybrid Fitness,51.4304427,-0.1861373
Hybrid Fitness (Canary Wharf),51.4995278,-0.0199918
i Gym London,51.5223561,-0.2627488
In2Sport,51.502809,-0.0096948
Indaba Yoga,51.5226537,-0.1651164
Iron Phoenix CrossFit,51.5835389,0.1737262
Ironmonger Row Baths,51.5265802,-0.0947235
Islington Boxing Club,51.5698567,-0.1251282
Ivengar Yoga Studio,51.4235985,-0.1635728
Iyengar Yoga House,51.3934281,0.1144906
Iyengar Yoga Maida Vale,51.5320476,-0.1896609
Jean Brown Indoor Arena,51.5978803,0.0909717
Jetts,51.4570524,-0.1966543
Jetts Fitness,51.4893739,-0.2228025
Jetts Fitness,51.4698046,-0.1257266
Jetts Fitness,51.4533393,-0.1209281
Jetts Fitness,51.4131464,-0.1782856
Joe's Reformer Pilates,51.4471779,-0.3279235
JOHN REED Fitness,51.5177653,-0.0830452
Jubilee Community Leisure Centre,51.5286748,-0.2056362
Kentish Town Sports Centre,51.5471002,-0.1441017
Kindred Yoga,51.4737012,-0.0239127
Kinetic Fitness Studio,51.4933806,-0.2191914
King’s Sport & Wellness London Bridge,51.5033729,-0.0912036
Kings Cross Fitness,51.5377263,-0.1233012
King's Sport Strand Gym,51.5129023,-0.1177153
Kiss Gyms,51.5063578,-0.2580059
KOBOX,51.5171172,-0.1550416
KX Gym Health Club,51.4932291,-0.1671575
KXU,51.4935544,-0.1586028
LA Fitness,51.512723,-0.1187295
Lê Pôle,51.465353,-0.1024746
Lana & Friends,51.5587373,-0.0868585
Leap Fit,51.5482815,-0.0683761
Legends Boxing Gym,51.4861541,-0.2873996
Legends Gym,51.5829818,-0.0995108
Level Out,51.4748808,-0.0965037
LevelOut Brixton,51.462749,-0.1157069
LevelOut Reformer Pilates,51.5465002,-0.0127459
Lewis Paris Fitness London Soho,51.5146326,-0.1299899
Leyton Gym,51.5739433,-0.0104501
Lift Each Other (LEO),51.3793429,0.1028756
Light Centre Moorgate,51.5174713,-0.088064
LIM,51.5582028,-0.0983578
Lisson Green Outdoor Gym,51.5252566,-0.1667887
Lite Up,51.449303,0.0130901
London Aesthetics & Spa,51.5229849,-0.0110237
